computer_id,learning_rate,batch_size,epochs,dropout,optimizer_type,run_id,train_losses,val_losses,train_accuracies,val_accuracies,timings,TP,TN,FP,FN,test_acc
39d7be11-0f8d-4f9c-8fb1-dfb36197c690,0.005,32,20,0.5,sgd,ecce7a95-775f-4182-aaae-6530315eacfe,0.0173,0.6591,99.5385,87.069,54.2497,105,105,13,9,90.5376
39d7be11-0f8d-4f9c-8fb1-dfb36197c690,0.005,32,20,0.5,adam,37f81cfe-e405-43ed-b2c2-7aa8072f3887,0.042,0.987,98.9848,82.7586,49.4052,119,119,8,18,84.7312
39d7be11-0f8d-4f9c-8fb1-dfb36197c690,0.005,32,20,0.2,sgd,c2b3b978-d51f-4fd2-8ba8-1ab830cc4bb8,0.0072,0.6241,99.8154,87.931,53.6299,113,113,15,15,85.1613
39d7be11-0f8d-4f9c-8fb1-dfb36197c690,0.005,32,20,0.2,adam,ddedc893-2c63-44ee-b36b-b04488df3c3d,1.3501,1.3546,28.8879,29.0948,56.0655,0,0,133,0,29.6774
39d7be11-0f8d-4f9c-8fb1-dfb36197c690,0.001,32,20,0.5,sgd,6383bac9-f7ff-473b-bbba-0f0c4180a485,0.1425,0.4128,95.1546,84.9138,51.3692,117,117,15,14,84.9462
39d7be11-0f8d-4f9c-8fb1-dfb36197c690,0.001,32,20,0.5,adam,cfbbed1e-08f0-485b-b3a6-46bf0e775071,0.033,0.8076,99.2617,86.4224,57.8586,117,117,13,15,83.871
39d7be11-0f8d-4f9c-8fb1-dfb36197c690,0.001,32,20,0.2,adam,7d3197f4-11eb-4c44-897c-2a5956d631f1,0.0228,0.9024,99.4462,88.1466,58.1229,109,109,28,7,84.7312
39d7be11-0f8d-4f9c-8fb1-dfb36197c690,0.001,32,20,0.2,sgd,17d23539-4f19-4d9b-b4fb-1b9e86a62a5e,0.0585,0.4906,98.4772,87.2845,51.1573,124,124,14,14,86.8817
39d7be11-0f8d-4f9c-8fb1-dfb36197c690,0.0002,32,20,0.5,adam,d590701c-c4ed-4adb-bc48-498c74b1e5c2,0.013,0.5127,99.677,89.4397,56.9291,109,109,15,7,89.2473
39d7be11-0f8d-4f9c-8fb1-dfb36197c690,0.0002,32,20,0.5,sgd,111a3728-008e-4379-b5ce-2bef58059249,0.6277,0.6799,75.6807,74.569,48.6274,103,103,19,26,73.7634
39d7be11-0f8d-4f9c-8fb1-dfb36197c690,0.0002,32,20,0.2,adam,485e3ed5-9295-4a68-be55-1c699af6aa4b,0.0029,0.6824,99.9539,87.069,49.49,120,120,18,11,86.4516
39d7be11-0f8d-4f9c-8fb1-dfb36197c690,0.0002,32,20,0.2,sgd,a33c4e69-b888-4ffa-94a9-8890a18cb7a6,0.6233,0.7957,76.419,67.2414,46.1097,107,107,12,42,69.0323
